"","Month","Year","Start.Date","Report.Type","Security.Type","Number.of.CUSIPs","PCT.of.CUSIPs","Trade.Count","PCT.of.Trade.Count","Par.Traded","PCT.of.Par.Traded","Avg.Trade.Size"
"63","July","2000",2000-07-01,"Customer Bought Only","Other",438,0.00552786016280684,941,0.00332059438992459,2567893976,0.0243447723128917,2728899.01806589
"59","July","2000",2000-07-01,"Customer Bought Only","Short Note",129,0.00162806840411434,258,0.000910428642508549,412906136,0.00391453306151449,1600411.37984496
"61","July","2000",2000-07-01,"Customer Bought Only","Short Variable",3779,0.047693569760838,15150,0.0534612167984671,59446554605,0.563579668853357,3923864.99042904
"64","July","2000",2000-07-01,"Customer Sold Only","Bond",60593,0.933550057005516,96979,0.864502268695567,22605265167,0.290458851359751,233094.434537374
"69","July","2000",2000-07-01,"Customer Sold Only","CP",137,0.00211074476935876,173,0.00154217812603072,1467526000,0.0188564882186312,8482809.24855491
"65","July","2000",2000-07-01,"Customer Sold Only","Long Note",390,0.00600868948941546,535,0.00476916356893893,1403017642,0.0180276094848778,2622462.88224299
"67","July","2000",2000-07-01,"Customer Sold Only","Long Variable",82,0.00126336548238992,161,0.00143520623289564,68757727,0.000883479590218751,427066.627329193
"70","July","2000",2000-07-01,"Customer Sold Only","Other",266,0.00409823436970388,516,0.00459979140480839,1592850692,0.0204668062492498,3086919.94573643
"66","July","2000",2000-07-01,"Customer Sold Only","Short Note",40,0.000616275845068253,63,0.000561602438959164,298498000,0.00383545097005776,4738063.49206349
"68","July","2000",2000-07-01,"Customer Sold Only","Short Variable",3398,0.0523526330385481,13752,0.1225897895328,50390135041,0.647471314127213,3664204.11874636
"1","August","2000",2000-08-01,"Total Customer and Interdealer","Bond",91110,0.925124893383697,528408,0.926209365019825,91279432882,0.413599215878159,172744.229614237
"6","August","2000",2000-08-01,"Total Customer and Interdealer","CP",844,0.00856991998700296,1312,0.00229971288645518,10962251000,0.0496714130961001,8355374.23780488
"2","August","2000",2000-08-01,"Total Customer and Interdealer","Long Note",1172,0.0119004102189188,4629,0.00811384981051908,8314325940,0.0376733134810871,1796138.67790019
"4","August","2000",2000-08-01,"Total Customer and Interdealer","Long Variable",155,0.00157385971325291,1280,0.00224362232824896,1194480546,0.00541234976608556,933187.9265625
"7","August","2000",2000-08-01,"Total Customer and Interdealer","Other",503,0.00510742861784655,1627,0.0028518543187977,3838914876,0.0173946324205275,2359505.14812538
"3","August","2000",2000-08-01,"Total Customer and Interdealer","Short Note",178,0.00180740018683238,448,0.000785267814887135,603373037,0.00273396325005471,1346814.81473214
"5","August","2000",2000-08-01,"Total Customer and Interdealer","Short Variable",4522,0.0459160878924495,32802,0.0574963278212674,104502593900,0.473515112107986,3185860.43229071
"8","August","2000",2000-08-01,"Interdealer Only","Bond",38610,0.979849761445538,115469,0.98661095731228,29192473000,0.959706712962757,252816.539504109
"13","August","2000",2000-08-01,"Interdealer Only","CP",0,0,0,0,0,0,NA
"9","August","2000",2000-08-01,"Interdealer Only","Long Note",397,0.0100751192772307,758,0.00647663966642742,632734000,0.0208012204830943,834741.424802111
"11","August","2000",2000-08-01,"Interdealer Only","Long Variable",50,0.00126890670997868,181,0.00154653269079599,91188000,0.00299781850416194,503801.104972376
"14","August","2000",2000-08-01,"Interdealer Only","Other",32,0.000812100294386357,83,0.000709183499094296,52479000,0.00172525460893884,632277.108433735
"10","August","2000",2000-08-01,"Interdealer Only","Short Note",51,0.00129428484417826,69,0.000589562185994053,32122000,0.0010560153308625,465536.231884058
"12","August","2000",2000-08-01,"Interdealer Only","Short Variable",264,0.00669982742868744,476,0.00406712464540825,417123000,0.0137129781101849,876308.823529412
"15","August","2000",2000-08-01,"Customer Only Buy and Sell","Bond",90392,0.924716882691737,412939,0.910620327695327,62086959882,0.326297331100004,150353.829214484
